date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-02-22,1100.0,1100.0,1100.0,1100.0,1100000,1000,1,1000.0,1100.0
2014-03-04,1100.0,1100.0,1100.0,1100.0,165000,150,2,1100.0,1100.0
2015-01-14,1100.0,1100.0,1100.0,1100.0,2117500,1925,2,1100.0,1100.0
2015-03-08,1100.0,1100.0,1100.0,1100.0,82500,75,1,1100.0,1100.0
2015-06-23,1100.0,1100.0,1100.0,1100.0,1100000,1000,1,1100.0,1100.0
2015-07-05,1100.0,1100.0,1100.0,1100.0,2200000,2000,2,1100.0,1100.0
2016-05-10,1100.0,1100.0,1100.0,1100.0,2200000,2000,3,1100.0,1100.0
2017-01-23,1150.0,1150.0,1150.0,1150.0,1150000,1000,1,1100.0,1150.0
2017-05-20,1151.0,1151.0,1151.0,1151.0,3280350,2850,3,1150.0,1151.0
2017-06-10,1151.0,1151.0,1151.0,1151.0,1151000,1000,1,1151.0,1151.0
2017-06-20,1151.0,1151.0,1151.0,1151.0,1151000,1000,1,1151.0,1151.0
2018-01-23,1266.0,1266.0,1266.0,1266.0,5633700,4450,27,1151.0,1266.0
2018-04-15,1392.0,1392.0,1392.0,1392.0,835200,600,6,1266.0,1392.0
2019-04-15,510.0,510.0,510.0,510.0,102000,200,2,506.0,510.0
2022-09-20,5030.0,5130.0,4930.0,4957.0,855656145347,172614277,91244,1.0,4940.0
2022-09-21,4858.0,4999.0,4858.0,4863.0,67798159006,13942346,10322,4957.0,4858.0
2022-10-12,4766.0,4766.0,4766.0,4854.0,472977840,99240,73,4863.0,4766.0
2022-10-15,4757.0,4757.0,4757.0,4853.0,26976947,5671,6,4854.0,4757.0
2022-10-16,4756.0,4756.0,4756.0,4756.0,4978985060,1046885,1051,4853.0,4756.0
2022-10-17,4661.0,4661.0,4661.0,4661.0,5193659080,1114280,1117,4756.0,4661.0
2022-10-18,4568.0,4568.0,4568.0,4568.0,54821435920,12001190,11864,4661.0,4568.0
2022-10-19,4477.0,4477.0,4477.0,4567.0,28402088,6344,7,4568.0,4477.0
2022-10-22,4476.0,4476.0,4476.0,4476.0,47024632200,10505950,10467,4567.0,4476.0
2022-10-23,4387.0,4387.0,4387.0,4387.0,5280184426,1203598,957,4476.0,4387.0
2022-10-24,4300.0,4350.0,4300.0,4300.0,121408081100,28234237,26468,4387.0,4300.0
2022-10-25,4214.0,4214.0,4214.0,4214.0,21748184304,5160936,4680,4300.0,4214.0
2022-10-26,4130.0,4130.0,4130.0,4130.0,4586414560,1110512,863,4214.0,4130.0
2022-10-29,4048.0,4048.0,4048.0,4048.0,30151042240,7448380,7207,4130.0,4048.0
2022-10-30,3968.0,3968.0,3968.0,3973.0,4501755520,1134515,829,4048.0,3968.0
2022-10-31,3894.0,3894.0,3894.0,3899.0,4398280788,1129502,875,3973.0,3894.0
2022-11-01,3822.0,3976.0,3822.0,3864.0,75307757425,19490407,16767,3899.0,3976.0
2022-11-02,3941.0,3941.0,3941.0,3941.0,4946305749,1255089,1219,3864.0,3941.0
2022-11-05,4014.0,4019.0,3863.0,3975.0,57114311704,14369569,11497,3941.0,4014.0
2022-11-06,3906.0,4040.0,3896.0,3942.0,21923716989,5561692,5121,3975.0,3896.0
2022-11-07,3955.0,3955.0,3864.0,3865.0,21754610770,5628768,5547,3942.0,3864.0
2022-11-08,3788.0,3788.0,3788.0,3788.0,5997112356,1583187,1295,3865.0,3788.0
2022-11-09,3713.0,3863.0,3713.0,3775.0,43678621219,11569385,8487,3788.0,3859.0
2022-11-12,3850.0,3850.0,3811.0,3847.0,10870816295,2825933,2531,3775.0,3838.0
2022-11-13,3900.0,3923.0,3895.0,3921.0,8120038365,2070692,1866,3847.0,3923.0
2022-11-14,3999.0,3999.0,3997.0,3999.0,7167152023,1792249,1749,3921.0,3999.0
2022-11-15,4078.0,4078.0,3960.0,4078.0,9516929403,2333974,2288,3999.0,4078.0
2022-11-16,4149.0,4149.0,3997.0,4006.0,6342285330,1583140,1461,4078.0,3997.0
2022-11-19,3926.0,3926.0,3926.0,3926.0,4896888022,1247297,1210,4006.0,3926.0
2022-11-20,3848.0,3997.0,3848.0,3854.0,9093218382,2359223,2200,3926.0,3848.0
2022-11-21,3785.0,3851.0,3777.0,3779.0,16302672926,4314491,4256,3854.0,3777.0
2022-11-22,3777.0,3854.0,3713.0,3823.0,5630864238,1472740,1262,3779.0,3749.0
2022-11-23,3895.0,3895.0,3747.0,3770.0,10531105609,2793746,2447,3823.0,3747.0
2022-11-26,3818.0,3829.0,3771.0,3785.0,2386189052,627564,517,3770.0,3820.0
2022-11-27,3780.0,3839.0,3710.0,3752.0,4513917601,1204093,1065,3785.0,3758.0
2022-11-28,3812.0,3812.0,3701.0,3760.0,1637634016,433744,295,3752.0,3800.0
2022-11-29,3805.0,3806.0,3685.0,3720.0,4601013336,1237870,1035,3760.0,3685.0
2022-11-30,3683.0,3783.0,3646.0,3650.0,11763547145,3222968,2950,3720.0,3651.0
2022-12-03,3585.0,3696.0,3577.0,3632.0,1381016158,385013,331,3650.0,3580.0
2022-12-04,3641.0,3704.0,3641.0,3666.0,2436463875,657991,577,3632.0,3704.0
2022-12-05,3739.0,3739.0,3739.0,3739.0,774941401,207259,183,3666.0,3739.0
2022-12-06,3813.0,3813.0,3813.0,3813.0,1508441865,395605,372,3739.0,3813.0
2022-12-07,3889.0,3889.0,3889.0,3889.0,1737632423,446807,406,3813.0,3889.0
2022-12-10,3966.0,3966.0,3815.0,3963.0,20451807866,5160285,4500,3889.0,3966.0
2022-12-11,4039.0,4042.0,3975.0,4040.0,4450612403,1101655,962,3963.0,4042.0
2022-12-12,4120.0,4120.0,4120.0,4120.0,4916169400,1193245,1147,4040.0,4120.0
2022-12-13,4202.0,4202.0,4202.0,4202.0,1729807926,411663,387,4120.0,4202.0
2022-12-14,4286.0,4286.0,4286.0,4286.0,1521058540,354890,336,4202.0,4286.0
2022-12-17,4371.0,4371.0,4371.0,4371.0,1202759328,275168,251,4286.0,4371.0
2022-12-18,4458.0,4458.0,4400.0,4457.0,9973043032,2237404,2139,4371.0,4458.0
2022-12-19,4546.0,4546.0,4501.0,4545.0,20298125358,4465864,4210,4457.0,4546.0
2022-12-20,4629.0,4635.0,4481.0,4607.0,18984305152,4120879,3555,4545.0,4629.0
2022-12-21,4697.0,4699.0,4610.0,4690.0,4362289823,930155,898,4607.0,4699.0
2022-12-24,4783.0,4783.0,4783.0,4783.0,7104950397,1485459,1476,4690.0,4783.0
2022-12-25,4878.0,4878.0,4756.0,4875.0,12159449423,2494106,2162,4783.0,4878.0
2022-12-26,4972.0,4972.0,4900.0,4972.0,23982079319,4823635,4778,4875.0,4972.0
2022-12-28,5070.0,5071.0,5060.0,5071.0,11771983117,2321527,2153,4972.0,5071.0
2022-12-31,5160.0,5170.0,4970.0,5140.0,20113723550,3912543,3352,5071.0,5170.0
2023-01-01,5240.0,5240.0,5230.0,5240.0,5320264480,1015352,1008,5140.0,5240.0
2023-01-02,5340.0,5340.0,5340.0,5340.0,3500295240,655486,634,5240.0,5340.0
2023-01-03,5440.0,5440.0,5410.0,5440.0,46240522700,8500187,8539,5340.0,5440.0
2023-01-04,5540.0,5540.0,5540.0,5540.0,55138456600,9952790,9879,5440.0,5540.0
2023-01-07,5650.0,5650.0,5650.0,5650.0,9685122650,1714181,1728,5540.0,5650.0
2023-01-08,5760.0,5760.0,5760.0,5760.0,744848640,129314,132,5650.0,5760.0
2023-01-09,5870.0,5870.0,5870.0,5870.0,7601479770,1294971,1304,5760.0,5870.0
2023-01-10,5980.0,5980.0,5910.0,5970.0,13677537570,2289309,2223,5870.0,5980.0
2023-01-11,6080.0,6080.0,6000.0,6080.0,7592372560,1249281,1171,5970.0,6080.0
2023-01-14,6200.0,6200.0,6200.0,6200.0,1961797800,316419,320,6080.0,6200.0
2023-01-16,6320.0,6320.0,6080.0,6260.0,20924144500,3341483,3209,6200.0,6080.0
2023-01-30,5970.0,5970.0,5970.0,5970.0,165954949530,27798149,808,6090.0,5970.0
2023-01-31,5860.0,5860.0,5860.0,5860.0,19053549740,3251459,63,5970.0,5860.0
2023-02-01,5750.0,5750.0,5750.0,5750.0,7722250000,1343000,25,5860.0,5750.0
2023-02-05,5640.0,5640.0,5640.0,5640.0,7663581240,1358791,30,5750.0,5640.0
2023-02-06,5480.0,5480.0,5480.0,5480.0,1205600000,220000,5,5640.0,5480.0
2023-02-07,5320.0,5320.0,5320.0,5320.0,5905200000,1110000,17,5480.0,5320.0
2023-02-08,5170.0,5170.0,5170.0,5170.0,5841950070,1129971,41,5320.0,5170.0
2023-02-12,5020.0,5020.0,5020.0,5020.0,5205820320,1037016,19,5170.0,5020.0
2023-02-13,4870.0,4940.0,4870.0,4870.0,69828287300,14333908,365,5020.0,4870.0
2023-02-14,4790.0,4930.0,4730.0,4800.0,64675370410,13470985,643,4870.0,4730.0
2023-02-15,4660.0,4750.0,4660.0,4660.0,15240443950,3268785,172,4800.0,4660.0
2023-02-19,4521.0,4550.0,4521.0,4524.0,15506357386,3427755,105,4660.0,4521.0
2023-02-20,4389.0,4659.0,4389.0,4519.0,76190535011,16861460,813,4524.0,4652.0
2023-02-21,4653.0,4654.0,4384.0,4512.0,40275796612,8925528,389,4519.0,4384.0
2023-02-22,4377.0,4378.0,4377.0,4377.0,12537092481,2864292,87,4512.0,4377.0
2023-02-25,4248.0,4507.0,4248.0,4413.0,27980507164,6340277,358,4377.0,4460.0
2023-02-26,4422.0,4540.0,4281.0,4369.0,27609650620,6318897,316,4413.0,4281.0
2023-02-27,4239.0,4336.0,4238.0,4241.0,9715788664,2290840,140,4369.0,4238.0
2023-02-28,4241.0,4300.0,4181.0,4231.0,8444716586,1995926,100,4241.0,4260.0
2023-03-01,4160.0,4357.0,4160.0,4346.0,9992193009,2299000,89,4231.0,4357.0
2023-03-04,4476.0,4476.0,4470.0,4476.0,20199566520,4512933,129,4346.0,4476.0
2023-03-05,4610.0,4610.0,4610.0,4610.0,17413136330,3777253,77,4476.0,4610.0
2023-03-06,4748.0,4748.0,4748.0,4748.0,19401477016,4086242,82,4610.0,4748.0
2023-03-07,4890.0,4890.0,4890.0,4890.0,7946988390,1625151,72,4748.0,4890.0
2023-03-11,5036.0,5036.0,4744.0,4935.0,63445437120,12856532,289,4890.0,4744.0
2023-03-12,4787.0,4787.0,4787.0,4787.0,5369850759,1121757,16,4935.0,4787.0
2023-03-13,4644.0,4644.0,4644.0,4644.0,8139483072,1752688,34,4787.0,4644.0
2023-03-14,4505.0,4697.0,4505.0,4516.0,35345048057,7827203,349,4644.0,4508.0
