date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-06-28,180000.0,189000.0,180000.0,184380.0,326003480500,1768153,1938,1000.0,189000.0
2020-06-29,193590.0,193590.0,193590.0,193590.0,169598004120,876068,1332,184380.0,193590.0
2020-06-30,203260.0,203260.0,203260.0,198660.0,28894628560,142156,266,193590.0,203260.0
2020-07-01,208590.0,208590.0,208590.0,205120.0,36795276000,176400,329,198660.0,208590.0
2020-07-04,215370.0,215370.0,215370.0,215370.0,99761106960,463208,627,205120.0,215370.0
2020-07-05,226130.0,226130.0,226130.0,226130.0,73270416470,324019,370,215370.0,226130.0
2020-07-06,237430.0,237430.0,237430.0,232410.0,32150396300,135410,268,226130.0,237430.0
2020-07-07,244030.0,244030.0,244030.0,243660.0,57601085230,236041,305,232410.0,244030.0
2020-07-08,255840.0,255840.0,234060.0,251110.0,567725424390,2260901,5007,243660.0,249000.0
2020-07-11,253000.0,263660.0,243000.0,253940.0,463122407150,1823734,5018,251110.0,263660.0
2020-07-12,266630.0,266630.0,266630.0,260940.0,35305278190,132413,302,253940.0,266630.0
2020-07-13,273980.0,273980.0,273980.0,272240.0,56972223140,207943,391,260940.0,273980.0
2020-07-14,285850.0,285850.0,285850.0,285850.0,223447229900,781694,1608,272240.0,285850.0
2020-07-15,300140.0,300140.0,290100.0,300100.0,877812504630,2925023,7781,285850.0,300140.0
2020-07-18,300000.0,315100.0,285100.0,306120.0,734481396790,2399349,7800,300100.0,315100.0
2020-07-22,321420.0,321420.0,321420.0,321420.0,118303452300,368065,850,306120.0,321420.0
2020-07-25,337490.0,337490.0,337490.0,337490.0,88642423480,262652,350,321420.0,337490.0
2020-07-26,354360.0,354360.0,354360.0,353300.0,79681035240,224859,335,337490.0,354360.0
2020-07-27,370960.0,370960.0,370960.0,360930.0,38443326720,103632,314,353300.0,370960.0
2020-07-28,378970.0,378970.0,378970.0,371320.0,52374411940,138202,356,360930.0,378970.0
2020-07-29,389880.0,389880.0,389880.0,382560.0,56655022320,145314,466,371320.0,389880.0
2020-08-01,401680.0,401680.0,401680.0,395380.0,64624688480,160886,344,382560.0,401680.0
2020-08-02,375620.0,415140.0,375620.0,407140.0,59344560560,142957,380,395380.0,415140.0
2020-08-03,427490.0,427490.0,427490.0,424950.0,89805816730,210077,417,407140.0,427490.0
2020-08-04,446190.0,446190.0,446190.0,445690.0,104580689340,234386,363,424950.0,446190.0
2020-08-05,467970.0,467970.0,423450.0,464560.0,1585962179360,3413918,12804,445690.0,467970.0
2020-09-16,441340.0,441340.0,441340.0,441340.0,542865412260,1230039,5070,464560.0,441340.0
2020-09-19,419280.0,419280.0,419280.0,419280.0,146101050960,348457,1895,441340.0,419280.0
