date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-09-07,7000.0,7000.0,7000.0,7000.0,77618415000,11088345,230,1000.0,7000.0
2019-09-11,8500.0,8500.0,8500.0,8500.0,24259450500,2854053,58,7000.0,8500.0
2019-09-14,9000.0,9000.0,9000.0,9000.0,14625000000,1625000,33,8500.0,9000.0
2019-09-16,9500.0,9500.0,9500.0,9500.0,19000000000,2000000,41,9000.0,9500.0
2019-09-21,10000.0,10000.0,10000.0,10000.0,10500000000,1050000,22,9500.0,10000.0
2019-09-22,10000.0,10000.0,10000.0,10000.0,1459470000,145947,5,10000.0,10000.0
2019-09-23,11000.0,11000.0,11000.0,11000.0,33000000000,3000000,60,10000.0,11000.0
2019-10-01,12000.0,12000.0,12000.0,12000.0,1308000000,109000,3,11000.0,12000.0
2019-10-05,12000.0,12000.0,12000.0,12000.0,33600000000,2800000,56,12000.0,12000.0
2019-10-06,11410.0,11410.0,11410.0,11410.0,1141000000,100000,2,12000.0,11410.0
2019-10-15,9990.0,9990.0,9990.0,9990.0,999000000,100000,8,11410.0,9990.0
2019-10-16,9900.0,9900.0,9900.0,9900.0,4950000000,500000,10,9990.0,9900.0
2019-10-20,9600.0,9600.0,9600.0,9600.0,2880000000,300000,6,9900.0,9600.0
2019-10-23,9599.0,9599.0,9599.0,9599.0,1919800000,200000,4,9600.0,9599.0
2019-11-02,9200.0,9200.0,9200.0,9200.0,4600000000,500000,11,9599.0,9200.0
2019-11-03,9150.0,9150.0,9150.0,9150.0,2745000000,300000,6,9200.0,9150.0
2019-11-05,9150.0,9150.0,9150.0,9150.0,8555250000,935000,21,9150.0,9150.0
2019-11-11,9000.0,9000.0,9000.0,9000.0,4950000000,550000,11,9150.0,9000.0
2019-11-12,8999.0,8999.0,8999.0,8999.0,4499500000,500000,10,9000.0,8999.0
2019-11-13,8999.0,8999.0,8999.0,8999.0,4499500000,500000,10,8999.0,8999.0
2019-11-16,9000.0,9000.0,9000.0,9000.0,900000000,100000,2,8999.0,9000.0
2019-11-23,9000.0,9000.0,9000.0,9000.0,1350000000,150000,3,9000.0,9000.0
2019-12-08,9000.0,9000.0,9000.0,9000.0,40030002000,4447778,176,9000.0,9000.0
2019-12-09,9000.0,9000.0,9000.0,9000.0,19999998000,2222222,45,9000.0,9000.0
2019-12-10,9000.0,9000.0,8000.0,8840.0,2210000000,250000,6,9000.0,8000.0
2019-12-11,7500.0,7500.0,7500.0,7500.0,740625000,98750,3,8840.0,7500.0
2019-12-14,7500.0,7500.0,7500.0,7500.0,1651875000,220250,17,7500.0,7500.0
2019-12-15,7500.0,7500.0,7500.0,7500.0,375000000,50000,1,7500.0,7500.0
2019-12-16,7500.0,7500.0,7500.0,7500.0,787500000,105000,4,7500.0,7500.0
2019-12-17,7000.0,7000.0,7000.0,7000.0,917000000,131000,3,7500.0,7000.0
2019-12-18,7500.0,7500.0,7500.0,7500.0,6592425000,878990,37,7000.0,7500.0
2019-12-21,7500.0,7500.0,7500.0,7500.0,5250000000,700000,15,7500.0,7500.0
2019-12-22,9180.0,9180.0,9180.0,9180.0,7197028200,783990,18,7500.0,9180.0
2019-12-23,9900.0,9900.0,9900.0,9900.0,8981636400,907236,19,9180.0,9900.0
2019-12-24,10360.0,10360.0,10360.0,10360.0,7044800000,680000,14,9900.0,10360.0
2019-12-25,12000.0,11162.0,11162.0,11162.0,7255300000,650000,13,10360.0,11162.0
2019-12-28,11999.0,11999.0,11999.0,11999.0,10199150000,850000,17,11162.0,11999.0
2020-01-20,11989.0,11989.0,11989.0,11989.0,479560000,40000,1,11999.0,11989.0
2020-02-01,11000.0,11000.0,11000.0,11000.0,11000000000,1000000,20,11989.0,11000.0
2020-02-04,11000.0,11000.0,11000.0,11000.0,6600000000,600000,14,11000.0,11000.0
2020-02-08,11950.0,11950.0,11950.0,11950.0,717000000,60000,2,11000.0,11950.0
2020-02-15,12000.0,12000.0,12000.0,12000.0,6000000000,500000,17,11950.0,12000.0
2020-02-17,12600.0,12600.0,12600.0,12600.0,2520000000,200000,4,12000.0,12600.0
2020-02-18,14000.0,14000.0,13800.0,13998.0,23727000000,1695000,39,12600.0,13800.0
2020-02-19,14400.0,14400.0,14200.0,14372.0,6168375800,429200,99,13998.0,14395.0
2020-02-22,14372.0,14372.0,13900.0,14032.0,912080000,65000,4,14372.0,13900.0
2020-02-23,12720.0,13500.0,12720.0,12741.0,71730600000,5630000,133,14032.0,13500.0
2020-02-25,12741.0,12741.0,12741.0,12741.0,191115000,15000,1,12741.0,12741.0
2020-02-26,13000.0,13180.0,13000.0,13008.0,13022660000,1001120,108,12741.0,13000.0
2020-02-29,13008.0,13008.0,13008.0,13008.0,650400000,50000,1,13008.0,13008.0
2020-03-02,13390.0,14000.0,13390.0,13990.0,12730850000,910000,37,13008.0,14000.0
2020-03-03,13990.0,13990.0,13000.0,13072.0,70354680000,5382000,200,13990.0,13000.0
2020-03-04,13072.0,13072.0,13072.0,13072.0,31111360000,2380000,96,13072.0,13072.0
2020-03-07,13072.0,13072.0,13072.0,13072.0,326800000,25000,2,13072.0,13072.0
2020-03-09,13072.0,13072.0,13072.0,13072.0,6562144000,502000,29,13072.0,13072.0
2020-03-10,13072.0,13072.0,13072.0,13072.0,6536000000,500000,10,13072.0,13072.0
2020-03-11,13725.0,13725.0,13725.0,13725.0,20175750000,1470000,113,13072.0,13725.0
2020-03-14,14411.0,14411.0,13483.0,13810.0,4488196000,325000,15,13725.0,13800.0
2020-03-15,13899.0,13899.0,13899.0,13899.0,430869000,31000,1,13810.0,13899.0
2020-03-17,13899.0,13940.0,13899.0,13940.0,2799612430,200836,5,13899.0,13940.0
2020-03-18,14000.0,14000.0,14000.0,14000.0,2982000000,213000,5,13940.0,14000.0
2020-03-28,14700.0,14700.0,14699.0,14699.0,1469950000,100000,3,14000.0,14699.0
2020-03-30,15000.0,15000.0,15000.0,15000.0,300000000,20000,2,14699.0,15000.0
2020-04-04,15300.0,15300.0,15300.0,15300.0,45900000,3000,1,15000.0,15300.0
2020-04-07,15147.0,15147.0,15147.0,15147.0,227205000,15000,1,15300.0,15147.0
2020-04-08,15800.0,15800.0,15800.0,15800.0,395000000,25000,2,15147.0,15800.0
2020-04-11,16116.0,16419.0,16419.0,16419.0,820950000,50000,4,15800.0,16419.0
2020-04-12,16748.0,17239.0,16748.0,17225.0,1240226000,72000,6,16419.0,17239.0
2020-04-14,18000.0,18000.0,18000.0,18000.0,360000000,20000,1,17225.0,18000.0
2020-04-15,18360.0,18900.0,18360.0,18819.0,1881900000,100000,4,18000.0,18900.0
2020-04-18,19195.0,19760.0,19195.0,19750.0,2913187500,147500,9,18819.0,19760.0
