date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-10-07,10000.0,10000.0,10000.0,10000.0,23363070000,2336307,165,10000.0,10000.0
2017-10-08,10000.0,10000.0,10000.0,10000.0,24643080000,2464308,316,10000.0,10000.0
2017-10-09,10000.0,10000.0,10000.0,10000.0,1145250000,114525,101,10000.0,10000.0
2017-10-10,10000.0,10000.0,10000.0,10000.0,17384190000,1738419,87,10000.0,10000.0
2017-10-11,10000.0,10000.0,10000.0,10000.0,47219930000,4721993,86,10000.0,10000.0
2018-03-10,10567.0,10620.0,10549.0,10573.0,2319998183,219435,43,10000.0,10579.0
2018-03-11,10579.0,10604.0,10579.0,10597.0,1546870252,145979,22,10573.0,10604.0
2018-03-12,10600.0,10600.0,10575.0,10596.0,96321822,9090,13,10597.0,10575.0
2018-03-13,10615.0,10630.0,10600.0,10604.0,2486675000,234500,29,10596.0,10600.0
2018-03-14,10640.0,10640.0,10640.0,10640.0,50465520,4743,2,10604.0,10640.0
2018-03-18,10600.0,10702.0,10520.0,10571.0,134849836,12756,9,10640.0,10702.0
2018-03-25,10584.0,10584.0,10584.0,10584.0,2116800,200,1,10571.0,10584.0
2018-03-26,10500.0,10625.0,10500.0,10620.0,5522510,520,3,10584.0,10625.0
2018-03-27,10600.0,10610.0,10600.0,10603.0,61974000,5845,6,10620.0,10610.0
2018-03-28,10617.0,10640.0,10617.0,10636.0,13806120,1298,4,10603.0,10640.0
2018-04-03,10699.0,10699.0,10675.0,10684.0,31751808,2972,5,10636.0,10699.0
2018-04-04,10650.0,10717.0,10650.0,10698.0,335941245,31401,10,10684.0,10690.0
2018-04-07,10750.0,10880.0,10750.0,10840.0,616618838,56886,28,10698.0,10880.0
2018-04-08,10900.0,11180.0,10900.0,11085.0,403249748,36379,23,10840.0,11180.0
2018-04-09,11310.0,11750.0,11310.0,11592.0,1022249370,88185,50,11085.0,11750.0
2018-04-10,10800.0,11000.0,10800.0,10839.0,127687844,11780,23,11592.0,10850.0
2018-04-11,10850.0,10894.0,10500.0,10690.0,216561871,20258,11,10839.0,10500.0
2018-04-15,10251.0,11500.0,10251.0,10982.0,118719800,10810,15,10690.0,11050.0
2018-04-16,11050.0,11100.0,11050.0,11089.0,15546800,1402,3,10982.0,11100.0
2018-04-17,11200.0,11312.0,11200.0,11206.0,197807670,17652,10,11089.0,11200.0
2018-04-18,11200.0,11205.0,11000.0,11107.0,160541871,14454,7,11206.0,11000.0
2018-04-21,11100.0,11200.0,11100.0,11107.0,612664900,55159,13,11107.0,11200.0
2018-04-22,11299.0,11300.0,10852.0,11030.0,689571716,62520,26,11107.0,11150.0
2018-04-23,10901.0,11145.0,10899.0,11005.0,457804261,41600,12,11030.0,10899.0
2018-04-24,11088.0,11089.0,10911.0,11028.0,573430690,52000,14,11005.0,11080.0
2018-04-25,10999.0,11300.0,10999.0,11195.0,5007286089,447287,43,11028.0,11300.0
2018-04-28,11299.0,11300.0,11200.0,11238.0,31579916,2810,7,11195.0,11300.0
2018-04-29,11320.0,11500.0,11320.0,11353.0,70366208,6198,7,11238.0,11400.0
2018-04-30,11500.0,11640.0,11350.0,11458.0,226243800,19746,16,11353.0,11600.0
2018-05-01,11600.0,11700.0,11600.0,11607.0,128622432,11081,8,11458.0,11606.0
2018-05-05,11750.0,12000.0,11715.0,11905.0,33513290,2815,13,11607.0,12000.0
2018-05-06,12250.0,12499.0,12100.0,12338.0,257490836,20870,25,11905.0,12400.0
2018-05-07,11701.0,11701.0,11600.0,11678.0,83744100,7171,5,12338.0,11600.0
2018-05-08,11501.0,11999.0,11350.0,11588.0,335992119,28995,21,11678.0,11999.0
2018-05-09,12250.0,12499.0,12001.0,12152.0,1491864060,122771,45,11588.0,12439.0
2018-05-12,12002.0,12500.0,12000.0,12023.0,287608902,23921,28,12152.0,12000.0
2018-05-13,12000.0,12000.0,11800.0,11927.0,333559600,27966,21,12023.0,12000.0
2018-05-14,11600.0,11600.0,11500.0,11524.0,61781600,5361,9,11927.0,11500.0
2018-05-16,11604.0,11604.0,11603.0,11604.0,61500900,5300,3,11524.0,11603.0
2018-05-19,11600.0,11600.0,11600.0,11600.0,1160000,100,1,11604.0,11600.0
2018-05-20,11650.0,11650.0,11650.0,11650.0,58250000,5000,1,11600.0,11650.0
2018-05-21,11999.0,11999.0,11701.0,11712.0,60904800,5200,3,11650.0,11999.0
2018-05-22,11800.0,11950.0,11720.0,11760.0,471595000,40100,7,11712.0,11950.0
2018-05-23,11900.0,11990.0,11800.0,11871.0,80724400,6800,11,11760.0,11801.0
2018-05-26,11800.0,11980.0,11800.0,11880.0,25138317,2116,8,11871.0,11830.0
2018-05-27,11850.0,11850.0,11800.0,11813.0,159475000,13500,6,11880.0,11800.0
2018-05-28,11850.0,12099.0,11801.0,11951.0,1101696775,92186,32,11813.0,12099.0
2018-05-29,12140.0,12350.0,12139.0,12194.0,643774828,52796,20,11951.0,12200.0
2018-05-30,12400.0,12450.0,12292.0,12368.0,3190228500,257940,43,12194.0,12400.0
2018-06-02,12460.0,12460.0,12395.0,12403.0,1627096900,131190,32,12368.0,12395.0
2018-06-03,12400.0,12499.0,12397.0,12404.0,62639950,5050,10,12403.0,12499.0
